date;SP5002;NASDAQ3;CloneAi;;;
25.07.2022;38,92898;109,18572;835,2550062;;;
08.08.2022;40,94956;104,97926;834,5386777;;;
22.08.2022;42,34672;107,76016;846,875093;;;
05.09.2022;40,4324;110,10676;866,6497049;;;
19.09.2022;39,62528;105,59672;842,2493541;;;
03.10.2022;37,02297;109,20614;839,2955625;;;
17.10.2022;36,66758;111,7152;846,0733263;;;
31.10.2022;37,90106;111,838975;839,8865003;;;
14.11.2022;38,39626;113,27134;831,156197;;;
28.11.2022;39,81473333;110,4076;834,8791703;;;
12.12.2022;39,94848;108,97934;825,5467363;;;
26.12.2022;38,83112222;105,57615;825,6467818;;;
